timestamp,main_controller_id,sensor_module_id,humidity,temperature,CO2,refreshable_token
2026-05-07 08:00:00,YBA_01,YBA_01_01,93.45,40.68,1626.96,9rcnv43osa
2026-05-07 08:00:10,ID_OFF,ID_OFF,,,,ID_OFF
2026-05-07 08:00:20,YBA_03,ID_OFF,,,,tb0vcso70w
2026-05-07 08:00:30,YBA_04,YBA_04_01,18.96,45.68,2173.59,0abv6puzqj
2026-05-07 08:00:40,KCD_01,KCD_01_01,73.45,21.41,713.48,fohb5ng2pm
2026-05-07 08:00:50,KCD_02,KCD_02_01,93.45,40.68,1626.96,nf8cx18m8d
2026-05-07 08:01:00,KCD_03,KCD_03_01,31.83,15.94,308.5,12oefeweu2
2026-05-07 08:01:10,NRP_01,NRP_01_01,71.83,18.56,511.34,yxxoegjofw
2026-05-07 08:01:20,NRP_02,NRP_02_01,17.89,40.94,1819.84,s8rxu3wsct
2026-05-07 08:01:30,NRP_03,NRP_03_01,17.89,40.94,1819.84,an7zcudcc6
2026-05-07 08:01:40,YBA_01,YBA_01_02,60.77,24.75,611.34,9rcnv43osa
2026-05-07 08:01:50,YBA_02,YBA_02_02,60.77,24.75,611.34,1or5e29xc5
2026-05-07 08:02:00,YBA_03,YBA_03_02,91.41,36.98,1955.74,tb0vcso70w
2026-05-07 08:02:10,YBA_04,ID_OFF,,,,0abv6puzqj
2026-05-07 08:02:20,KCD_01,KCD_01_02,17.61,41.98,2461.27,fohb5ng2pm
2026-05-07 08:02:30,KCD_02,KCD_02_02,60.21,25.58,977.87,nf8cx18m8d
2026-05-07 08:02:40,KCD_03,KCD_03_02,31.41,16.98,583.4,12oefeweu2
2026-05-07 08:02:50,NRP_01,ID_OFF,,,,yxxoegjofw
2026-05-07 08:03:00,NRP_02,NRP_02_02,89.08,44.09,1575.39,s8rxu3wsct
2026-05-07 08:03:10,NRP_03,NRP_03_02,89.08,44.09,1575.39,an7zcudcc6
2026-05-07 08:03:20,YBA_01,YBA_01_03,16.06,49.09,2128.46,9rcnv43osa
2026-05-07 08:03:30,YBA_02,ID_OFF,,,,1or5e29xc5
2026-05-07 08:03:40,YBA_03,ID_OFF,,,,tb0vcso70w
2026-05-07 08:03:50,YBA_04,YBA_04_03,57.11,31.27,787.69,0abv6puzqj
2026-05-07 08:04:00,KCD_01,KCD_01_03,56.18,25.77,785.26,fohb5ng2pm
2026-05-07 08:04:10,KCD_02,KCD_02_03,68.38,19.33,685.26,nf8cx18m8d
2026-05-07 08:04:20,KCD_03,KCD_03_03,28.38,17.21,438.94,12oefeweu2
2026-05-07 08:04:30,ID_OFF,ID_OFF,,,,ID_OFF
2026-05-07 08:04:40,NRP_02,NRP_02_03,88.38,37.21,1570.52,s8rxu3wsct
2026-05-07 08:04:50,NRP_03,NRP_03_03,56.18,25.77,785.26,an7zcudcc6
2026-05-07 08:05:00,YBA_01,YBA_01_01,17.76,42.49,1836.3,9rcnv43osa
2026-05-07 08:05:10,YBA_02,YBA_02_01,60.52,25.99,620.74,1or5e29xc5
2026-05-07 08:05:20,YBA_03,YBA_03_01,31.64,17.49,315.56,tb0vcso70w
2026-05-07 08:05:30,YBA_04,YBA_04_01,91.64,37.49,1241.48,0abv6puzqj
2026-05-07 08:05:40,KCD_01,KCD_01_01,91.64,37.49,1241.48,fohb5ng2pm
2026-05-07 08:05:50,KCD_02,KCD_02_01,60.52,25.99,620.74,nf8cx18m8d
2026-05-07 08:06:00,KCD_03,ID_OFF,,,,12oefeweu2
2026-05-07 08:06:10,ID_OFF,ID_OFF,,,,ID_OFF
2026-05-07 08:06:20,NRP_02,NRP_02_01,71.84,20.39,664.22,s8rxu3wsct
2026-05-07 08:06:30,NRP_03,NRP_03_01,60.79,27.19,764.22,an7zcudcc6
2026-05-07 08:06:40,YBA_01,YBA_01_02,60.79,27.19,764.22,9rcnv43osa
2026-05-07 08:06:50,YBA_02,YBA_02_02,31.84,18.99,423.17,1or5e29xc5
2026-05-07 08:07:00,YBA_03,ID_OFF,,,,tb0vcso70w
2026-05-07 08:07:10,YBA_04,YBA_04_02,10.58,45.07,1826.25,0abv6puzqj
2026-05-07 08:07:20,KCD_01,KCD_01_02,46.16,28.06,615.0,fohb5ng2pm
2026-05-07 08:07:30,KCD_02,KCD_02_02,20.87,20.07,311.25,nf8cx18m8d
2026-05-07 08:07:40,KCD_03,KCD_03_02,10.58,45.07,1826.25,12oefeweu2
2026-05-07 08:07:50,NRP_01,NRP_01_02,80.87,40.07,1230.0,yxxoegjofw
2026-05-07 08:08:00,NRP_02,NRP_02_02,61.01,28.75,954.8,s8rxu3wsct
2026-05-07 08:08:10,NRP_03,NRP_03_02,18.0,45.94,2420.91,an7zcudcc6
2026-05-07 08:08:20,ID_OFF,ID_OFF,,,,ID_OFF
2026-05-07 08:08:30,YBA_02,YBA_02_03,72.01,21.56,854.8,1or5e29xc5
